sample_id,freq,Vr,vp1,vp2,vs1,vs2,den1,den2,h1
1,1,335.2775786,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,2,330.639854,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,3,325.873814,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,4,321.0159282,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,5,316.1015386,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,6,311.1641607,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,7,306.2344634,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,8,301.3401079,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,9,296.5054253,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,10,291.7510943,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,11,287.0941411,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,12,282.5483159,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,13,278.1241997,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,14,273.8294195,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,15,269.6691851,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,16,265.646397,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,17,261.7622368,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,18,258.0164898,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,19,254.4075982,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,20,250.933145,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,21,247.5901226,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,22,244.3749321,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,23,241.2835991,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
1,24,238.3120415,301.0742406,629.8561631,177.1024945,370.5036254,1893.597738,2150.438798,5.545121977
